"concept_rank","concept_name","one_sentence_description","problem_solved","current_tools_fail_because","why_compelling_for_adhd_users","why_it_could_win","technical_build_difficulty","demo_quality","ethical_privacy_risk","real_pain_severity","unmet_need","evidence_support","uniqueness","emotional_resonance","clarity_90s_demo","feasibility_24_36h","accessibility_empowerment","technical_impressiveness","judge_friendliness","privacy_ethics_safety","weighted_total"
"11","Household Handshake","Shared executive-function dashboard for partners or caregivers","Unequal invisible labor and missed follow-through","Most ADHD tools are single-user and ignore household coordination","Emotionally powerful for real life","Strong story but heavier scope","Medium-High","Medium","High","8","7","7","7","9","8","7","8","6","8","6","75.0"
"12","Context Canvas","A live map of active open loops across docs, tasks, and email","Fragmented cognitive load","Systems are fragmented and hard to reconstitute","Feels like a working-memory prosthetic","Visually impressive if pulled off","High","Medium","High","7","8","7","8","7","8","7","8","7","8","6","74.1"
"13","Syllabus Rescue","Turns course docs and assignment prompts into next-step cards","Student planning overload","Syllabus and LMS information stays inert","High student relevance and very hackathon-friendly","Good academic demo but less unique","Medium","High","Low","7","7","6","7","7","9","8","7","7","8","7","72.9"
"14","Decision Dial","Cuts through small daily decisions when depleted","Decision paralysis","Most productivity tools add choices instead of removing them","Helpful when cognitive energy is low","Simple and friendly but less wow","Low","Medium","Low","7","7","6","7","7","8","9","7","6","7","8","72.3"
"15","Trigger Shield","Calendar events automatically trigger focus mode and app blocking","Failure to transition into work when it is time to start","Calendars do not protect execution","Very practical for work and study blocks","Nice functionality demo but not very novel","Low-Medium","Medium-High","Low-Medium","7","7","7","6","6","8","9","7","6","7","7","71.2"
"16","Social Reboot","Summarizes missed messages and drafts gentle restart replies","Social backlog and avoidance","Messaging tools do not reduce re-entry friction","Emotionally relatable, especially after ghosting or overload","Broad appeal but weaker ADHD specificity","Medium","Medium-High","Medium","6","6","5","7","7","8","8","7","6","7","7","67.0"
"17","Commute Cue","Location-aware prompts tied to routines and objects","Remembering tasks at the right place and time","Regular reminders arrive at the wrong time","Useful for errands and life admin","Tangible mobile demo but less novel","Medium","Medium","Medium","6","6","6","6","6","7","9","6","5","6","8","64.9"
"18","Chaos Map","AI errand sequencer that reduces spatial/context-switching friction","Errand planning and context switching","Task apps ignore travel and switching cost","Practical and easy to grasp","Less emotionally powerful than top concepts","Medium","Medium","Low-Medium","6","6","6","7","6","7","8","5","6","6","8","64.4"
"19","Momentum Pet 2.0","Context-aware self-care pet tied to actual task friction","Motivation and self-care adherence","Gamified tools are often detached from real work friction","Friendly and sticky if executed well","Could be charming, but risks looking shallow","Medium","Medium-High","Low-Medium","6","5","5","6","8","8","7","6","6","7","8","64.3"
"20","Sidecar Intent Layer","A floating scratchpad keeps current intent visible across apps","Working-memory support during multitasking","Notes and tabs do not keep the current intention salient","Feels assistive and practical","Good accessibility framing but less punchy demo","Medium","Medium-High","Medium","8","8","7","8","8","8","8","8","7","8","8","78.4"
